Product Name,Brand Name,Store Location,Product Price,Total Sold,Product Rating
VIVO Y35 8/128 GB GARANSI RESMI - BLACK,VIVO,Jakarta Barat,2135000,5,5.0
VIVO V29 V29E V27E BARU 100% ORIGINAL GARANSI RESMI SEGEL UTUH,VIVO,Jakarta Utara,3696000,23,5.0
VIVO Y27S 8/128 8/256 NFC 44W FLASHCHARGE SNAPDRAGON 680 GARANSI RESMI,VIVO,Jakarta Utara,2064000,70,5.0
OPPO PAD AIR 4/64 RAM 4 ROM 64GB GARANSI RESMI OPPO INDONESIA,OPPO,Tangerang Selatan,3540000,7,5.0
VIVO Y27 5G 6/128 GARANSI RESMI ,VIVO,Depok,1985000,3,5.0
"REALME NARZO 50I PRIME - HIJAU, 4/64",REALME,Cirebon,1500000,1,5.0
REALME C51 4/64 4/128 NFC - GARANSI RESMI,REALME,Depok,1319000,28,5.0
OPPO A17 8/64GB ( 4GB + 4GB EXTENSION RAM ) GARANSI RESMI,OPPO,Bekasi,2099000,9,5.0
"VIVO V29E 5G 8/256 RAM 8 ROM 256 GB 8GB 256GB SMARTPHONE GARANSI RESMI - ROSE GOLD, 8/256GB",VIVO,Jakarta Utara,3785000,1,5.0
 VIVO V9 RAM 6GB ROM 64GB GARANSI VIVO - BLACK & GOLD - HITAM,VIVO,Jakarta Timur,3849000,3,5.0
REDMI 10 4/64GB 2022 EX DISPLAY / EX DEMO  ONLY,REDMI,Jakarta Utara,1099000,30,5.0
VIVO Y35 8/128 GB GARANSI RESMI - BLACK,VIVO,Jakarta Barat,2135000,5,5.0
OPPO RENO 8 8/256/ OPPO SECOND MURAH,OPPO,Kab. Sleman,2950000,1,5.0
OPPO A78 4G 8/256 GB GARANSI RESMI,OPPO,Bandung,2497000,1,5.0
VIVO Y17S 6/128 + Y17S 4/64 + Y16 4/128. GARANSI RESMI HARGA MURAH,VIVO,Pekanbaru,1395000,1,5.0
"REALME 10 4G 8/256GB GARANSI RESMI - WHITE, 8/128GB",REALME,Jakarta Barat,2652000,14,5.0
OPPO PAD AIR 4/64 RAM 4 ROM 64GB GARANSI RESMI OPPO INDONESIA,OPPO,Tangerang Selatan,3540000,7,5.0
VIVO Y27 5G 6/128 GARANSI RESMI ,VIVO,Depok,1985000,3,5.0
"OPPO A78 LTE (RAM 8GB, ROM 256GB, SNAPDRAGON 680)",OPPO,Malang,3599000,1,5.0
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,20,4.9
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
