,link,name,price,rating,total_sold,store_name,store_location
174,https://www.tokopedia.com/wahanaacesories/vivo-y81-ram-3gb-rom-32gb-garansi-vivo-indonesia-resmi-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,Vivo Y81 RAM 3GB ROM 32GB Garansi VIVO Indonesia Resmi,Rp1.899.000,No name available,21 terjual,WAHANA ACCESSORIES,Jakarta Timur
175,https://www.tokopedia.com/wahanaacesories/hp-vivo-y91-2-32gb-y91-32gb-vivo-y-91-2gb-rom-32gb-garansi-resmi-v-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,HP VIVO Y91 2/32GB (Y91 32GB) - VIVO Y 91 2GB ROM 32GB GARANSI RESMI V,Rp1.750.000,No name available,100+ terjual,WAHANA ACCESSORIES,Jakarta Timur
176,https://www.tokopedia.com/spyshop88/hp-android-murah-luna-v55c-4g-original-garansi?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Hp android murah LUNA V55C 4G - Original - Garansi,Rp2.449.000,No name available,No name available,Korean Fashion&Beauty,Jakarta Barat
177,https://www.tokopedia.com/hapni77/handphone-vivo-y36-8-256-new-murah-100-original?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Handphone Vivo Y36 8/256 New Murah 100% Original,Rp4.260.000,No name available,No name available,Hapni77,Jakarta Barat
178,https://www.tokopedia.com/archive-maxxisbambu/hp-android-murah-pc-318-bisa-untuk-bbm?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Hp Android Murah PC 318 Bisa Untuk Bbm,Rp2.000.000,5.0,2 terjual,maxxis.bambu,Medan
179,https://www.tokopedia.com/armaphoen/new-stock-redmi-note-12-ram-8-128gb-6-128gb-hp-second-seken-bekas-fullset-murah-1730801603864135494?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,new stock !!! Redmi Note 12 Ram 8/128GB 6/128GB Hp Second Seken Bekas Fullset murah,Rp2.199.680,No name available,No name available,arma phoen,Tangerang
180,https://www.tokopedia.com/armaphoen/new-stock-hape-hp-bekas-second-xiaomi-redmi-note-12-8-128gb-murah-1730801642085910342?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,new stock !!! HAPE HP BEKAS SECOND XIAOMI REDMI NOTE 12 8/128GB murah,Rp1.634.680,No name available,No name available,arma phoen,Tangerang
181,https://www.tokopedia.com/helmaliya/original-hp-murah-viv0-x60plus-handphone-android-4g5g-12gb512gb?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Original! HP murah VIV0 X60plus Handphone android 4G5G 12GB512GB,Rp1.076.700,No name available,No name available,helmaliya shop,Surabaya
182,https://www.tokopedia.com/winwinelektronik/promo-hp-y17-vivo-y17-6gb-128gb-hp-murah-fullset-dengan-ai-triple-red-ec512?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,PROMO HP Y17/VIVO Y17 6GB/128GB/HP MURAH/Fullset /dengan AI Triple,Rp1.013.000,No name available,No name available,WinWin Elektronik,Kab. Tangerang
183,https://www.tokopedia.com/tokomyamandiri/tecno-spark-20c-8gb-128gb-hp-baru-resmi-android-gaming-murah-nfc-8-128-putih-8gb-128gb-ed84c?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Tecno Spark 20c 8gb/128gb Hp Baru Resmi android gaming murah NFC 8/128,Rp2.129.000,No name available,No name available,TOKO MYA MANDIRI,Jakarta Barat
184,https://www.tokopedia.com/armaphoen/new-stock-handphone-gp-6a-6-128-second-like-new-murah-1730801647439742790?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,new stock !!! HANDPHONE GP 6A 6/128 SECOND LIKE NEW murah,Rp4.005.680,No name available,No name available,arma phoen,Tangerang
185,https://www.tokopedia.com/winwinelektronik/promo-vivo-v15-hp-murah-hp-vivo-android-smartphone-ram-8gb-256gb-pink-92aa8?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,PROMO VIVO V15/HP MURAH/HP VIVO/Android Smartphone RAM 8GB 256GB,Rp1.172.000,No name available,No name available,WinWin Elektronik,Kab. Tangerang
186,https://www.tokopedia.com/anggunadista/terbaru-2023-hp-promo-galaxy-s23-ultra-handphone-original-murah?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,【Terbaru 2023 hp promo】Galaxy S23 ultra handphone original murah,Rp1.205.000,No name available,No name available,anggunadista,Bekasi
187,https://www.tokopedia.com/sinaraabadi067/sa-hp-nokia-murah-jadul-nokia-5710-xpressaudio-2-4-dual-2g-gsm-putih-aed76?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,"SA HP nokia Murah Jadul nokia 5710 XpressAudio (2.4"" + Dual ) 2G GSM",Rp1.134.000,No name available,No name available,sinaraabadi067,Jakarta Barat
188,https://www.tokopedia.com/hapni77/oppo-c35-smartphone-6-8-inch-handphone-baru-ram-12gb512gb-hp-murah-100-original?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Oppo C35 Smartphone 6.8 Inch Handphone Baru Ram 12Gb512Gb Hp Murah 100% Original,Rp1.220.000,No name available,No name available,Hapni77,Jakarta Barat
189,https://www.tokopedia.com/wahanaacesories/hp-oppo-a57-ram-3gb-rom-32gb-garansi-oppo-gold-black-emas?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,HP OPPO A57 RAM 3GB ROM 32GB GARANSI OPPO - GOLD & BLACK,Rp2.249.000,No name available,7 terjual,WAHANA ACCESSORIES,Jakarta Timur
190,https://www.tokopedia.com/cuan-gadgetid/vivo-v40-lite-4g-8-256-vivo-v-40-lite-4g-nfc-8-128-garansi-resmi-indonesia-8-128-silver-bonus-30-item-8f6fc?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,VIVO V40 LITE 4G 8/256 VIVO V 40 LITE 4G NFC 8/128 GARANSI RESMI INDONESIA,Rp3.299.000,No name available,4 terjual,Cuan Gadget.id,Bekasi
191,https://www.tokopedia.com/wahanaacesories/hp-oppo-f7-ram-4gb-rom-64gb-garansi-oppo-red-black-silver-merah?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,"HP OPPO F7 RAM 4GB ROM 64GB GARANSI OPPO - RED, BLACK & SILVER",Rp3.094.000,No name available,15 terjual,WAHANA ACCESSORIES,Jakarta Timur
192,https://www.tokopedia.com/wahanaacesories/vivo-y81-ram-3gb-rom-32gb-garansi-vivo-indonesia-resmi-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,Vivo Y81 RAM 3GB ROM 32GB Garansi VIVO Indonesia Resmi,Rp1.899.000,No name available,21 terjual,WAHANA ACCESSORIES,Jakarta Timur
193,https://www.tokopedia.com/wahanaacesories/hp-vivo-y91-2-32gb-y91-32gb-vivo-y-91-2gb-rom-32gb-garansi-resmi-v-hitam?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,HP VIVO Y91 2/32GB (Y91 32GB) - VIVO Y 91 2GB ROM 32GB GARANSI RESMI V,Rp1.750.000,No name available,100+ terjual,WAHANA ACCESSORIES,Jakarta Timur
194,https://www.tokopedia.com/jaswadi78/vove-hp-murah-s24-ultra-5g-16gb-512gb-6-74-inch-android-13-5000mah-oct?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,VOVE Hp Murah S24 Ultra 5G 16GB/512GB 6.74 Inch Android 13 5000mAh Oct,Rp2.399.500,No name available,No name available,jaswadi78,Surabaya
195,https://www.tokopedia.com/iiyujh/iiy-vivo-y17-hp-murah-cuci-gudang-ram-8-256gb-handphone-fast-charging-baterai-5000mah-android-smartphone?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,iiy VIVO Y17 HP Murah Cuci Gudang RAM 8+256GB Handphone Fast Charging Baterai 5000mAh Android Smartphone,Rp1.011.000,No name available,No name available,iiyujh,Jakarta Pusat
